"hgnc_symbol","GSM7497463_TMG30_1_RSEM","GSM7497464_TMG30_7_RSEM","GSM7497465_TMG30_16_RSEM","GSM7497466_TMG30_18_RSEM","GSM7497467_TMG30_22_RSEM","GSM7497468_TMG30_27_RSEM","GSM7497469_TMG30_33_RSEM","GSM7497470_TMG30_1000035_RSEM","GSM7497471_TMG30_37_RSEM","GSM7497472_TMG30_39_RSEM","GSM7497473_TMG30_43_RSEM","GSM7497474_TMG30_45_RSEM","GSM7497475_TMG30_47_RSEM","GSM7497476_TMG30_49_RSEM","GSM7497477_TMG30_56_RSEM","GSM7497478_TMG30_1000058_RSEM","GSM7497479_TMG30_62_RSEM","GSM7497480_TMG30_65_RSEM","GSM7497481_TMG30_69_RSEM","GSM7497482_TMG30_74_RSEM","GSM7497483_TMG30_76_RSEM","GSM7497484_TMG30_79_RSEM","GSM7497485_TMG30_80_RSEM","GSM7497486_TMG30_81_RSEM","GSM7497487_TMG30_131_RSEM","GSM7497488_TMG30_134_RSEM","GSM7497489_TMG30_138_RSEM","GSM7497490_TMG30_142_RSEM","GSM7497491_TMG30_147_RSEM","GSM7497492_TMG30_149_RSEM","GSM7497493_TMG30_152_RSEM","GSM7497494_TMG30_155_RSEM","GSM7497495_TMG30_160_RSEM","GSM7497496_TMG30_163_RSEM","GSM7497497_TMG30_10000168_RSEM","GSM7497498_TMG30_171_RSEM","GSM7497499_TMG30_177_RSEM","GSM7497500_TMG30_179_RSEM","GSM7497501_TMG30_182_RSEM","GSM7497502_TMG30_193_RSEM","GSM7497503_TMG30_195_RSEM","GSM7497504_TMG30_201_RSEM","GSM7497505_TMG30_203_RSEM","GSM7497506_TMG30_208_RSEM","GSM7497507_TMG30_209_RSEM","GSM7497508_TMG30_210_RSEM","GSM7497509_TMG30_211_RSEM","GSM7497510_TMG30_213_RSEM","GSM7497511_TMG30_215_RSEM","GSM7497512_TMG30_217_RSEM","GSM7497513_TMG30_219_RSEM","GSM7497514_TMG30_223_RSEM","GSM7497515_TMG30_229_RSEM","GSM7497516_TMG30_232_RSEM","GSM7497517_TMG30_235_RSEM","GSM7497518_TMG30_238_RSEM"
"CXCL2",3.82,27.45,38.02,12.19,21.03,47.63,13.93,95.15,36.92,53.59,57.54,9.12,44.69,5.55,4.24,25.18,215.04,8.7,43.52,8.23,33.98,51.93,67.9,3.12,20.2,42.06,27.68,35.01,31.07,2.63,15.06,18.59,99.41,34.19,29.1,118.24,64.43,5.08,30.41,79.66,18.11,14,22.44,0.81,0.6,0.92,2.04,1.16,1.18,1.17,1.44,25.51,39.02,53.65,12.43,123.14
"CXCL12",34.74,37.74,12.29,9.5,19.92,19.37,7.04,12.22,37.4,8.58,15.37,31.99,18.07,25.67,13.57,13.61,14.48,22.94,19.9,12.89,27,20.41,19.78,13.01,11.79,12.45,10.07,16.68,8.39,13.79,20.13,17.9,56.3,20.45,62.69,28.82,11.83,7.04,28.27,11.07,13.65,22.67,24.75,10.45,12.84,24.04,31.39,26.56,25.24,20.93,18.23,3.03,26.24,11.47,54.57,30.26
"CXCL6",10.21,14.45,9.55,0.99,9.72,11.19,0.5,30.42,22.84,2.27,23.22,5.52,11,0.91,1.39,31.37,13.76,7.09,14.89,2.99,43.95,13.7,50.13,4.26,9.48,20.19,9.24,4.32,1.47,0.75,1.73,7.64,31.97,9.1,59.54,20.66,19.93,1,8.51,8.89,1.62,0.53,7.5,0.12,0.03,0.18,0.65,0.26,0.11,0.41,0.18,0.44,5.46,1.04,4.39,13.01
"CXCL9",12.03,55.79,13.36,28.46,59.36,15.92,13.28,26.21,44.43,69.74,36.14,35.75,259.08,0.6,13.59,230.08,19.52,70.83,29.14,20.57,21.66,11.39,54.01,11.87,42.52,80.22,2.33,17.68,14.49,4.69,22.59,24.42,54.76,94.69,31.61,8.66,24.38,2.92,35.24,12.28,26.94,8.55,15.37,1.14,0.33,1.04,2.63,0.99,3.71,1.75,5.1,21.76,40.55,15.12,12.68,71.5
"CXCL14",222.39,318.37,211.78,62.75,135.42,135.12,61.19,41.05,159.28,109.1,78.82,145.22,88.62,151.61,94.23,153.01,248.19,340.16,120.28,102.9,185.97,219.83,303.57,134.99,175.08,109.25,178.65,142.81,78.53,129.74,119.95,113.89,187.04,97.4,144.75,58.12,45.55,66.54,116,29.12,156.99,131.68,228.96,71.87,73.25,116.73,176.05,153.1,220.06,207.4,126.25,7.74,161.49,155.09,254.18,250.69
"CXCL13",59.37,152.61,17.36,6.91,5.2,7.28,0.53,143.29,177.3,0.17,14.11,146.25,48.86,0.9,4.9,53.5,19.62,32.45,26.12,1.43,38.27,52.74,23.71,13.01,54.64,8.96,4.96,1.31,1.93,11.54,0.36,1.75,131.84,2.07,384.68,32.51,17.85,3.1,50.17,8.64,5.02,5.01,89.5,0.04,0,0.95,4.1,0.08,8.3,14,6.41,5.06,3.7,2.07,11.2,35.49
"CXCL16",46.33,39.96,36.28,25.37,27.21,39.41,13.7,63.45,50.08,15.77,44.44,49.9,31.45,30.96,24.85,30.95,36.37,42.84,31.26,26.84,42.89,43.59,73.16,32.13,34.91,49.61,32.59,17.58,25.2,27.64,24.26,50.12,53.58,28.23,71.85,29.48,46.02,18.47,37.84,23.46,40.23,27.33,30.82,14.45,12.11,16.37,22.63,18.63,18.51,19.02,14.71,31.2,40.02,45.04,69.33,69.14
"CXCL3",18.73,77.61,88.01,22.06,37.63,95.72,21.09,129.46,78.57,68.68,110.46,27.82,68.56,15.75,9.85,46.55,300.11,31.41,110.9,14.47,88.97,95.55,89.85,11.36,64.83,115.92,105.59,83.55,62.54,4.6,31.34,64.82,156.13,52.78,46.27,115.55,163.99,11.18,88.12,128.63,44.46,20.1,69.92,1.48,0.94,2.92,3.38,2.48,1.65,1.69,2.86,70.69,69.16,55.81,19.26,171.99
"CXCL5",0.21,2.3,1.55,15.05,0.48,5.47,0,72.12,8.55,1.68,25.97,3.53,1.65,0.38,2.53,27.32,1.63,1.85,41.97,0.36,66.32,3.91,10.11,0.36,117.84,24.76,0.53,12.36,4.05,0.1,0.02,2.12,51.26,12.86,150.7,14.09,69.72,0.29,52.29,10.71,73.96,0.33,0.85,0.02,0,0.06,0.17,0.04,0.02,0.04,0.06,0.38,0.44,7.19,7.32,48.82
"CXCL1",65.69,216.29,292.26,31.46,84.63,229.6,22.92,595.02,281.14,104.85,283.28,59.47,109.03,14.35,20.33,99.19,680.93,70.61,240.5,22.02,284.92,258.8,395.34,37.03,123.12,264.79,198.96,109.22,77.62,11.8,36.9,129.88,404.44,135.32,246.82,259.69,433.55,12.72,165.34,186.41,50.81,19.48,121.86,0.62,0.71,2.01,4.7,1.72,1.42,2.51,2.36,104.96,95.31,88.12,37.49,299.57
"CXCL10",7.91,25.46,17,27.91,51.39,33.15,10.94,170.96,81.08,65.32,15.18,21.91,216.87,1.43,27.73,270.17,50.8,111.77,23.66,17.06,11.35,7.04,75.67,26.74,16.65,54.62,7.07,12.14,16.33,4.97,11.28,28.47,45.51,48.61,21.93,7.74,32.13,2.27,11.91,9.01,17.77,6.68,12.13,2.6,0.71,1.35,3.61,1.69,2.38,1.43,8.02,20.05,55.07,28.72,7.3,71.12
"CXCL11",5.22,14.92,5.45,23.55,16.82,9.54,1.39,24.41,63.03,13.5,9.2,21.57,65.48,0.67,3.72,42.81,9.55,115.81,13.62,11.34,10.16,5.3,13.27,28.14,5.87,21.14,3.19,4.2,8.62,3.15,4.52,34.97,19.7,16.01,8.96,0.92,16.03,1.18,4.8,4.04,8.53,2.38,7.46,0.32,0.06,0.28,0.18,0.12,0.53,0.25,1.14,28.58,50.88,3.36,3.24,12.89
"CXCL8",10.53,13.23,28.75,19.22,8.47,705.23,1.32,2812.49,77.68,19.54,131.84,10.7,17.59,0.91,89.8,25.77,156.41,9.19,17.87,4.56,78.67,113.72,1668.58,5.14,19.68,124.01,18.26,5,12.19,1.39,5.04,31.96,182.14,51.96,166.66,428.78,881.17,1.02,87.32,86.25,17.31,12.22,12.08,0.24,0.11,0.46,1.41,0.35,0,0.21,0.17,15.16,10.43,30.17,12.55,60.6
"CXCL17",0.08,1.67,1.76,0.45,0,0.35,0,0.9,2.3,0.04,8.29,1.54,0.14,0,0.06,0.31,2.48,0.27,1.57,0.13,2.58,1.57,1.88,0.09,2.76,4.75,0.63,0.13,0.08,0,0,1.5,1.82,0.33,0,4.39,2.02,0.05,9.07,1.31,1.14,0,0.98,0,0,0,0,0,0,0,0.07,0.33,0.23,0.11,0.34,0.34
